Type_OS;Code_OS;CN sol C Fav;CN sol C Defav;CN sol D Fav;CN sol D Defav
batis denses;1;98;98;98;98
batis diffus;2;86;88;90;92
zones ind et com;3;98;98;98;98
routes;4;98;98;98;98
colza;5;80;81;85;86
cereales pailles;6;80;81;85;86
protéagineux;7;80;81;85;86
soja;8;82;86;87;90
tournesol;9;82;86;87;90
maïs;10;82;86;87;90
riz;11;82;86;87;90
tubercules racines;12;80;81;85;86
prairies;13;69;82;76;86
vergers;14;82;86;87;90
vignes;15;82;86;87;90
forets feuillus;16;64;68;73;75
forets coniferes;17;64;68;73;75
pelouses;18;69;82;76;86
landes ligneuses;19;59;64;68;73
