OBJECTID,NOM,Exutoire_1,Vidange2025,peche2025,Vidange2026,peche2026,Vidange2027,peche2027,Vidange2028,peche2028,Vidange2029,peche2029,Vidange2030,peche2030,Vidange2031,peche2031,Vidange2032,peche2032,Vidange2033,peche2033,Vidange2034,peche2034,Vidange2035,peche2035,Vidange2036,peche2036,Vidange2037,peche2037,Vidange2038,peche2038,Vidange2039,peche2039,Vidange2040,peche2040,Vidange2041,peche2041,Vidange2042,peche2042,Vidange2043,peche2043,Vidange2044,peche2044,Vidange2045,peche2045,Vidange2046,peche2046,Vidange2047,peche2047,Vidange2048,peche2048,Vidange2049,peche2049,Vidange2050,peche2050
589,LECHERE DU FRAYET,CORVEYZIEUX,2026-01-06,2026-01-14,2027-01-06,2027-01-14,2028-01-06,2028-01-14,2029-01-06,2029-01-14,2030-01-06,2030-01-14,2031-01-06,2031-01-14,2032-01-06,2032-01-14,2033-01-06,2033-01-14,2034-01-06,2034-01-14,2035-01-06,2035-01-14,2036-01-06,2036-01-14,2037-01-06,2037-01-14,2038-01-06,2038-01-14,2039-01-06,2039-01-14,2040-01-06,2040-01-14,2041-01-06,2041-01-14,2042-01-06,2042-01-14,2043-01-06,2043-01-14,2044-01-06,2044-01-14,2045-01-06,2045-01-14,2046-01-06,2046-01-14,2047-01-06,2047-01-14,2048-01-06,2048-01-14,2049-01-06,2049-01-14,2050-01-06,2050-01-14
580,LES RAGES,CARRONNIER,2026-01-03,2026-01-05,2027-01-03,2027-01-05,2028-01-03,2028-01-05,2029-01-03,2029-01-05,2030-01-03,2030-01-05,2031-01-03,2031-01-05,2032-01-03,2032-01-05,2033-01-03,2033-01-05,2034-01-03,2034-01-05,2035-01-03,2035-01-05,2036-01-03,2036-01-05,2037-01-03,2037-01-05,2038-01-03,2038-01-05,2039-01-03,2039-01-05,2040-01-03,2040-01-05,2041-01-03,2041-01-05,2042-01-03,2042-01-05,2043-01-03,2043-01-05,2044-01-03,2044-01-05,2045-01-03,2045-01-05,2046-01-03,2046-01-05,2047-01-03,2047-01-05,2048-01-03,2048-01-05,2049-01-03,2049-01-05,2050-01-03,2050-01-05
619,LIGNIERE,REMONDET SUD,2025-11-24,2025-12-19,2026-11-24,2026-12-19,2027-11-24,2027-12-19,2028-11-24,2028-12-19,2029-11-24,2029-12-19,2030-11-24,2030-12-19,2031-11-24,2031-12-19,2032-11-24,2032-12-19,2033-11-24,2033-12-19,2034-11-24,2034-12-19,2035-11-24,2035-12-19,2036-11-24,2036-12-19,2037-11-24,2037-12-19,2038-11-24,2038-12-19,2039-11-24,2039-12-19,2040-11-24,2040-12-19,2041-11-24,2041-12-19,2042-11-24,2042-12-19,2043-11-24,2043-12-19,2044-11-24,2044-12-19,2045-11-24,2045-12-19,2046-11-24,2046-12-19,2047-11-24,2047-12-19,2048-11-24,2048-12-19,2049-11-24,2049-12-19,2050-11-24,2050-12-19
853,LONGEVAVRE,ONDONNIERE,2025-11-09,2025-11-16,2026-11-09,2026-11-16,2027-11-09,2027-11-16,2028-11-09,2028-11-16,2029-11-09,2029-11-16,2030-11-09,2030-11-16,2031-11-09,2031-11-16,2032-11-09,2032-11-16,2033-11-09,2033-11-16,2034-11-09,2034-11-16,2035-11-09,2035-11-16,2036-11-09,2036-11-16,2037-11-09,2037-11-16,2038-11-09,2038-11-16,2039-11-09,2039-11-16,2040-11-09,2040-11-16,2041-11-09,2041-11-16,2042-11-09,2042-11-16,2043-11-09,2043-11-16,2044-11-09,2044-11-16,2045-11-09,2045-11-16,2046-11-09,2046-11-16,2047-11-09,2047-11-16,2048-11-09,2048-11-16,2049-11-09,2049-11-16,2050-11-09,2050-11-16
757,NEUF DE BURLAT,VIEUX BURLAT,2026-02-15,2026-02-19,2027-02-15,2027-02-19,2028-02-15,2028-02-19,2029-02-15,2029-02-19,2030-02-15,2030-02-19,2031-02-15,2031-02-19,2032-02-15,2032-02-19,2033-02-15,2033-02-19,2034-02-15,2034-02-19,2035-02-15,2035-02-19,2036-02-15,2036-02-19,2037-02-15,2037-02-19,2038-02-15,2038-02-19,2039-02-15,2039-02-19,2040-02-15,2040-02-19,2041-02-15,2041-02-19,2042-02-15,2042-02-19,2043-02-15,2043-02-19,2044-02-15,2044-02-19,2045-02-15,2045-02-19,2046-02-15,2046-02-19,2047-02-15,2047-02-19,2048-02-15,2048-02-19,2049-02-15,2049-02-19,2050-02-15,2050-02-19
844,ONDONNIERE,TRIPOUX,2025-10-27,2025-11-08,2026-10-27,2026-11-08,2027-10-27,2027-11-08,2028-10-27,2028-11-08,2029-10-27,2029-11-08,2030-10-27,2030-11-08,2031-10-27,2031-11-08,2032-10-27,2032-11-08,2033-10-27,2033-11-08,2034-10-27,2034-11-08,2035-10-27,2035-11-08,2036-10-27,2036-11-08,2037-10-27,2037-11-08,2038-10-27,2038-11-08,2039-10-27,2039-11-08,2040-10-27,2040-11-08,2041-10-27,2041-11-08,2042-10-27,2042-11-08,2043-10-27,2043-11-08,2044-10-27,2044-11-08,2045-10-27,2045-11-08,2046-10-27,2046-11-08,2047-10-27,2047-11-08,2048-10-27,2048-11-08,2049-10-27,2049-11-08,2050-10-27,2050-11-08
728,PARADIS,SALE,2025-10-17,2025-10-28,2026-10-17,2026-10-28,2027-10-17,2027-10-28,2028-10-17,2028-10-28,2029-10-17,2029-10-28,2030-10-17,2030-10-28,2031-10-17,2031-10-28,2032-10-17,2032-10-28,2033-10-17,2033-10-28,2034-10-17,2034-10-28,2035-10-17,2035-10-28,2036-10-17,2036-10-28,2037-10-17,2037-10-28,2038-10-17,2038-10-28,2039-10-17,2039-10-28,2040-10-17,2040-10-28,2041-10-17,2041-10-28,2042-10-17,2042-10-28,2043-10-17,2043-10-28,2044-10-17,2044-10-28,2045-10-17,2045-10-28,2046-10-17,2046-10-28,2047-10-17,2047-10-28,2048-10-17,2048-10-28,2049-10-17,2049-10-28,2050-10-17,2050-10-28
641,PETIT ETANG LA ROUE,CORVEYZIEUX,2026-01-06,2026-01-11,2027-01-06,2027-01-11,2028-01-06,2028-01-11,2029-01-06,2029-01-11,2030-01-06,2030-01-11,2031-01-06,2031-01-11,2032-01-06,2032-01-11,2033-01-06,2033-01-11,2034-01-06,2034-01-11,2035-01-06,2035-01-11,2036-01-06,2036-01-11,2037-01-06,2037-01-11,2038-01-06,2038-01-11,2039-01-06,2039-01-11,2040-01-06,2040-01-11,2041-01-06,2041-01-11,2042-01-06,2042-01-11,2043-01-06,2043-01-11,2044-01-06,2044-01-11,2045-01-06,2045-01-11,2046-01-06,2046-01-11,2047-01-06,2047-01-11,2048-01-06,2048-01-11,2049-01-06,2049-01-11,2050-01-06,2050-01-11
716,PETIT RONZUEL,GRAND RONZUEL,2026-02-10,2026-02-24,2027-02-10,2027-02-24,2028-02-10,2028-02-24,2029-02-10,2029-02-24,2030-02-10,2030-02-24,2031-02-10,2031-02-24,2032-02-10,2032-02-24,2033-02-10,2033-02-24,2034-02-10,2034-02-24,2035-02-10,2035-02-24,2036-02-10,2036-02-24,2037-02-10,2037-02-24,2038-02-10,2038-02-24,2039-02-10,2039-02-24,2040-02-10,2040-02-24,2041-02-10,2041-02-24,2042-02-10,2042-02-24,2043-02-10,2043-02-24,2044-02-10,2044-02-24,2045-02-10,2045-02-24,2046-02-10,2046-02-24,2047-02-10,2047-02-24,2048-02-10,2048-02-24,2049-02-10,2049-02-24,2050-02-10,2050-02-24
699,PLAT,POLLET,2025-11-26,2025-12-13,2026-11-26,2026-12-13,2027-11-26,2027-12-13,2028-11-26,2028-12-13,2029-11-26,2029-12-13,2030-11-26,2030-12-13,2031-11-26,2031-12-13,2032-11-26,2032-12-13,2033-11-26,2033-12-13,2034-11-26,2034-12-13,2035-11-26,2035-12-13,2036-11-26,2036-12-13,2037-11-26,2037-12-13,2038-11-26,2038-12-13,2039-11-26,2039-12-13,2040-11-26,2040-12-13,2041-11-26,2041-12-13,2042-11-26,2042-12-13,2043-11-26,2043-12-13,2044-11-26,2044-12-13,2045-11-26,2045-12-13,2046-11-26,2046-12-13,2047-11-26,2047-12-13,2048-11-26,2048-12-13,2049-11-26,2049-12-13,2050-11-26,2050-12-13
