"Horizon","Modele_Meteo_Desc","Scenario","Categorie","Pluie_Moyenne_mm","Ecoulement_Global_Moy","Evaporation_Global_Moy","Captage_Global_Moy","Remplissage_20Mars_Moy","Remplissage_1Sept_Moy"
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","1. Aléatoire (Taille)","1. Étang de Tête",1136.274624,0.12800959461425251,0.1477448727846015,0.3699428275062039,44.80446358162696,31.67406016626261
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","1. Aléatoire (Taille)","2. Étang de Milieu",1136.274624,0.12800959461425251,0.1477448727846015,0.3699428275062039,62.57802019622248,48.416084555781836
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","1. Aléatoire (Taille)","3. Étang Exutoire",1136.274624,0.12800959461425251,0.1477448727846015,0.3699428275062039,81.20512100728158,57.079412620994866
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","2. Aléatoire (Fixe)","1. Étang de Tête",1136.274624,0.12934110643822383,0.1480935701346725,0.36980237967109947,51.03895136483766,36.25269668263525
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","2. Aléatoire (Fixe)","2. Étang de Milieu",1136.274624,0.12934110643822383,0.1480935701346725,0.36980237967109947,60.419383513001335,46.969235123303996
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","2. Aléatoire (Fixe)","3. Étang Exutoire",1136.274624,0.12934110643822383,0.1480935701346725,0.36980237967109947,85.38365802592023,60.092440991781345
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","3. Aléatoire (Variable)","1. Étang de Tête",1136.274624,0.12869045360549589,0.14739045984677662,0.3697879550069452,49.683465626732676,34.37063339485092
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","3. Aléatoire (Variable)","2. Étang de Milieu",1136.274624,0.12869045360549589,0.14739045984677662,0.3697879550069452,64.01628491120601,49.20396715494561
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","3. Aléatoire (Variable)","3. Étang Exutoire",1136.274624,0.12869045360549589,0.14739045984677662,0.3697879550069452,85.39636626832088,60.173129821751154
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","4. Opti (Vidange seule)","1. Étang de Tête",1136.274624,0.12420872310199758,0.14432796834116926,0.3699636656923125,36.70297660395932,24.992341641256523
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","4. Opti (Vidange seule)","2. Étang de Milieu",1136.274624,0.12420872310199758,0.14432796834116926,0.3699636656923125,72.3123814801553,55.55811861829931
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","4. Opti (Vidange seule)","3. Étang Exutoire",1136.274624,0.12420872310199758,0.14432796834116926,0.3699636656923125,78.79666109888414,56.41880949407726
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","5. Opti (Synchronisation Totale)","1. Étang de Tête",1136.274624,0.1251227595619436,0.14384390661206,0.3698702491641381,36.70297660395932,24.992341641256523
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","5. Opti (Synchronisation Totale)","2. Étang de Milieu",1136.274624,0.1251227595619436,0.14384390661206,0.3698702491641381,71.8955162223274,55.10774981619928
"2030-2040 (Proche)","CNRM-CM5 (Modéré)","5. Opti (Synchronisation Totale)","3. Étang Exutoire",1136.274624,0.1251227595619436,0.14384390661206,0.3698702491641381,78.79666109888414,56.41880949407726
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","1. Aléatoire (Taille)","1. Étang de Tête",1126.3887359999999,0.12517301915108062,0.1464854378899278,0.37140780883139995,48.91670938075306,37.356430790530986
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","1. Aléatoire (Taille)","2. Étang de Milieu",1126.3887359999999,0.12517301915108062,0.1464854378899278,0.37140780883139995,63.03256925761528,49.72461453259525
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","1. Aléatoire (Taille)","3. Étang Exutoire",1126.3887359999999,0.12517301915108062,0.1464854378899278,0.37140780883139995,85.8221057853932,62.733204082417345
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","2. Aléatoire (Fixe)","1. Étang de Tête",1126.3887359999999,0.12518433778517696,0.14685039850355702,0.3713930049215049,55.317886563389386,41.28670382036151
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","2. Aléatoire (Fixe)","2. Étang de Milieu",1126.3887359999999,0.12518433778517696,0.14685039850355702,0.3713930049215049,60.80208640584327,47.41879099008793
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","2. Aléatoire (Fixe)","3. Étang Exutoire",1126.3887359999999,0.12518433778517696,0.14685039850355702,0.3713930049215049,85.78089795449296,62.73821158790486
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","3. Aléatoire (Variable)","1. Étang de Tête",1126.3887359999999,0.1235200739328228,0.14752982038143064,0.3713073976455092,54.33803714833465,39.457873764823816
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","3. Aléatoire (Variable)","2. Étang de Milieu",1126.3887359999999,0.1235200739328228,0.14752982038143064,0.3713073976455092,64.874125095837,50.40649779327614
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","3. Aléatoire (Variable)","3. Étang Exutoire",1126.3887359999999,0.1235200739328228,0.14752982038143064,0.3713073976455092,81.47304287750778,60.07696278116918
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","4. Opti (Vidange seule)","1. Étang de Tête",1126.3887359999999,0.12393144377308288,0.1432923319083445,0.371775062461414,40.10758266010268,32.2198582525331
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","4. Opti (Vidange seule)","2. Étang de Milieu",1126.3887359999999,0.12393144377308288,0.1432923319083445,0.371775062461414,71.07700803155936,53.695298608558566
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","4. Opti (Vidange seule)","3. Étang Exutoire",1126.3887359999999,0.12393144377308288,0.1432923319083445,0.371775062461414,79.27734309446959,58.054812483210476
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","5. Opti (Synchronisation Totale)","1. Étang de Tête",1126.3887359999999,0.12455277649666219,0.14306676134460558,0.37169912564543367,40.10758266010268,32.2198582525331
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","5. Opti (Synchronisation Totale)","2. Étang de Milieu",1126.3887359999999,0.12455277649666219,0.14306676134460558,0.37169912564543367,70.8069788612586,53.54330863856336
"2030-2040 (Proche)","HadGEM2 (Chaud/Sec modéré)","5. Opti (Synchronisation Totale)","3. Étang Exutoire",1126.3887359999999,0.12455277649666219,0.14306676134460558,0.37169912564543367,79.27734309446959,58.054812483210476
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","1. Aléatoire (Taille)","1. Étang de Tête",995.135616,0.09540454412161453,0.1792603783189633,0.3723227467912955,47.837283074200954,22.583069699622705
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","1. Aléatoire (Taille)","2. Étang de Milieu",995.135616,0.09540454412161453,0.1792603783189633,0.3723227467912955,59.95473019816141,34.02128563939558
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","1. Aléatoire (Taille)","3. Étang Exutoire",995.135616,0.09540454412161453,0.1792603783189633,0.3723227467912955,85.92787405196455,46.38661020718537
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","2. Aléatoire (Fixe)","1. Étang de Tête",995.135616,0.0984723275368908,0.17753905285154423,0.3721782256899105,54.23472854609624,25.12518061747315
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","2. Aléatoire (Fixe)","2. Étang de Milieu",995.135616,0.0984723275368908,0.17753905285154423,0.3721782256899105,58.085342380267456,32.83133477816703
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","2. Aléatoire (Fixe)","3. Étang Exutoire",995.135616,0.0984723275368908,0.17753905285154423,0.3721782256899105,85.86421441494647,46.30201351317163
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","3. Aléatoire (Variable)","1. Étang de Tête",995.135616,0.09725745088615065,0.1779526919051259,0.3721719433643966,54.16570367286728,24.960189812839076
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","3. Aléatoire (Variable)","2. Étang de Milieu",995.135616,0.09725745088615065,0.1779526919051259,0.3721719433643966,61.50016347986281,35.22417622366447
"2030-2040 (Proche)","HadGEM2 (Extrême sec)","3. Aléatoire (Variable)","3. Étang Exutoire",995.135616,0.09725745088615065,0.1779526919051259,0.3721719433643966,82.80724709649454,46.435440708377314
