"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:22";"0.20/150/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;2,48;0,24;1,92;-0,32;0,57;0,19
"2026-06-15 10:22";"0.30/150/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,6;0,24;3,04;-0,32;0,83;0,19
"2026-06-15 10:22";"0.35/150/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;4,16;0,24;3,6;-0,32;0,96;0,19
"2026-06-15 10:22";"0.40/150/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;4,72;0,24;4,16;-0,32;1,09;0,19
"2026-06-15 10:22";"0.50/150/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;5,84;0,24;5,28;-0,32;1,35;0,19
"2026-06-15 10:22";"0.20/175/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;2,3;0,24;1,74;-0,32;0,54;0,19
"2026-06-15 10:22";"0.30/175/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,33;0,24;2,77;-0,32;0,77;0,19
"2026-06-15 10:22";"0.35/175/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,84;0,24;3,28;-0,32;0,89;0,19
"2026-06-15 10:23";"0.40/175/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;4,36;0,24;3,8;-0,32;1,01;0,19
"2026-06-15 10:23";"0.50/175/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;5,39;0,24;4,83;-0,32;1,24;0,19
"2026-06-15 10:23";"0.20/200/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;2,14;0,24;1,58;-0,32;0,5;0,19
"2026-06-15 10:23";"0.30/200/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,09;0,24;2,53;-0,32;0,71;0,19
"2026-06-15 10:23";"0.35/200/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,56;0,24;3;-0,32;0,82;0,19
"2026-06-15 10:23";"0.40/200/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;4,04;0,24;3,48;-0,32;0,93;0,19
"2026-06-15 10:23";"0.50/200/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;4,99;0,24;4,43;-0,32;1,15;0,19
"2026-06-15 10:23";"0.20/225/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;2;0,24;1,44;-0,32;0,47;0,19
"2026-06-15 10:23";"0.30/225/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;2,88;0,24;2,32;-0,32;0,67;0,19
"2026-06-15 10:23";"0.35/225/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,32;0,24;2,76;-0,32;0,77;0,19
"2026-06-15 10:23";"0.40/225/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,76;0,24;3,2;-0,32;0,87;0,19
"2026-06-15 10:23";"0.50/225/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;4,64;0,24;4,08;-0,32;1,07;0,19
"2026-06-15 10:23";"0.20/250/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;1,88;0,24;1,31;-0,32;0,45;0,19
"2026-06-15 10:23";"0.30/250/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;2,69;0,24;2,13;-0,32;0,63;0,19
"2026-06-15 10:23";"0.35/250/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,1;0,24;2,54;-0,32;0,72;0,19
"2026-06-15 10:23";"0.40/250/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;3,51;0,24;2,95;-0,32;0,81;0,19
"2026-06-15 10:23";"0.50/250/1";"CARRONNIER";2025-09-20;2025-09-25;44,58;0,56;4,33;0,24;3,77;-0,32;1;0,19
