"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:06";"0.20/150/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;2,24;0;1,14;-1,1;0,48;0,28
"2026-06-15 10:06";"0.30/150/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,36;0;2,26;-1,1;0,71;0,28
"2026-06-15 10:06";"0.35/150/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,92;0;2,82;-1,1;0,84;0,28
"2026-06-15 10:06";"0.40/150/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;4,48;0;3,38;-1,1;0,96;0,28
"2026-06-15 10:06";"0.50/150/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;5,6;0;4,5;-1,1;1,22;0,28
"2026-06-15 10:06";"0.20/175/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;2,06;0;0,96;-1,1;0,45;0,28
"2026-06-15 10:06";"0.30/175/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,09;0;1,99;-1,1;0,66;0,28
"2026-06-15 10:06";"0.35/175/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,6;0;2,51;-1,1;0,77;0,28
"2026-06-15 10:06";"0.40/175/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;4,12;0;3,02;-1,1;0,89;0,28
"2026-06-15 10:06";"0.50/175/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;5,15;0;4,05;-1,1;1,12;0,28
"2026-06-15 10:06";"0.20/200/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;1,9;0;0,8;-1,1;0,42;0,28
"2026-06-15 10:06";"0.30/200/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;2,85;0;1,75;-1,1;0,61;0,28
"2026-06-15 10:06";"0.35/200/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,32;0;2,23;-1,1;0,71;0,28
"2026-06-15 10:06";"0.40/200/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,8;0;2,7;-1,1;0,82;0,28
"2026-06-15 10:06";"0.50/200/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;4,75;0;3,65;-1,1;1,03;0,28
"2026-06-15 10:06";"0.20/225/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;1,76;0;0,66;-1,1;0,39;0,28
"2026-06-15 10:06";"0.30/225/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;2,64;0;1,54;-1,1;0,57;0,28
"2026-06-15 10:06";"0.35/225/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,08;0;1,98;-1,1;0,66;0,28
"2026-06-15 10:06";"0.40/225/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;3,52;0;2,42;-1,1;0,76;0,28
"2026-06-15 10:06";"0.50/225/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;4,4;0;3,3;-1,1;0,96;0,28
"2026-06-15 10:06";"0.20/250/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;1,64;0;0,54;-1,1;0,37;0,28
"2026-06-15 10:06";"0.30/250/1";"GRAND ETANG LA ROUE";2025-09-20;2025-09-25;44,58;1,1;2,45;0;1,36;-1,1;0,53;0,28
