"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:04";"0.20/150/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;5,9;9,46;-2,2;1,37;1,97;1,71
"2026-06-15 10:04";"0.30/150/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,84;9,46;0,75;1,37;2,24;1,71
"2026-06-15 10:04";"0.35/150/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;10,32;9,46;2,23;1,37;2,49;1,71
"2026-06-15 10:04";"0.40/150/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;11,79;9,46;3,7;1,37;2,79;1,71
"2026-06-15 10:04";"0.50/150/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;14,74;9,46;6,65;1,37;3,48;1,71
"2026-06-15 10:04";"0.20/175/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;5,46;9,46;-2,63;1,37;1,96;1,71
"2026-06-15 10:04";"0.30/175/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,19;9,46;0,09;1,37;2,15;1,71
"2026-06-15 10:04";"0.35/175/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;9,55;9,46;1,46;1,37;2,35;1,71
"2026-06-15 10:04";"0.40/175/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;10,91;9,46;2,82;1,37;2,6;1,71
"2026-06-15 10:04";"0.50/175/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;13,64;9,46;5,55;1,37;3,21;1,71
"2026-06-15 10:04";"0.20/200/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;5,07;9,46;-3,02;1,37;1,96;1,71
"2026-06-15 10:04";"0.30/200/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;7,61;9,46;-0,48;1,37;2,08;1,71
"2026-06-15 10:04";"0.35/200/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,88;9,46;0,79;1,37;2,24;1,71
"2026-06-15 10:04";"0.40/200/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;10,15;9,46;2,06;1,37;2,45;1,71
"2026-06-15 10:04";"0.50/200/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;12,68;9,46;4,59;1,37;2,98;1,71
"2026-06-15 10:04";"0.20/225/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;4,74;9,46;-3,35;1,37;1,96;1,71
"2026-06-15 10:04";"0.30/225/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;7,11;9,46;-0,98;1,37;2,03;1,71
"2026-06-15 10:04";"0.35/225/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,29;9,46;0,2;1,37;2,16;1,71
"2026-06-15 10:04";"0.40/225/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;9,48;9,46;1,38;1,37;2,34;1,71
"2026-06-15 10:04";"0.50/225/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;11,84;9,46;3,75;1,37;2,79;1,71
"2026-06-15 10:04";"0.20/250/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;4,44;9,46;-3,65;1,37;1,97;1,71
"2026-06-15 10:04";"0.30/250/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;6,66;9,46;-1,43;1,37;2;1,71
"2026-06-15 10:04";"0.35/250/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;7,77;9,46;-0,32;1,37;2,1;1,71
"2026-06-15 10:04";"0.40/250/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,88;9,46;0,79;1,37;2,24;1,71
"2026-06-15 10:04";"0.50/250/1";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;11,1;9,46;3,01;1,37;2,64;1,71
"2026-06-15 10:04";"0.20/150/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;5,79;9,46;-2,3;1,37;1,89;1,71
"2026-06-15 10:04";"0.30/150/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,69;9,46;0,6;1,37;2,12;1,71
"2026-06-15 10:04";"0.35/150/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;10,14;9,46;2,04;1,37;2,35;1,71
"2026-06-15 10:04";"0.40/150/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;11,58;9,46;3,49;1,37;2,63;1,71
"2026-06-15 10:04";"0.50/150/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;14,48;9,46;6,39;1,37;3,31;1,71
"2026-06-15 10:04";"0.20/175/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;4,96;9,46;-3,13;1,37;1,89;1,71
"2026-06-15 10:04";"0.30/175/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;7,44;9,46;-0,65;1,37;1,96;1,71
"2026-06-15 10:04";"0.35/175/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,68;9,46;0,59;1,37;2,1;1,71
"2026-06-15 10:04";"0.40/175/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;9,92;9,46;1,83;1,37;2,29;1,71
"2026-06-15 10:04";"0.50/175/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;12,41;9,46;4,31;1,37;2,79;1,71
"2026-06-15 10:04";"0.20/200/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;4,25;9,46;-3,84;1,37;1,91;1,71
"2026-06-15 10:04";"0.30/200/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;6,37;9,46;-1,72;1,37;1,88;1,71
"2026-06-15 10:04";"0.35/200/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;7,43;9,46;-0,66;1,37;1,94;1,71
"2026-06-15 10:04";"0.40/200/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;8,5;9,46;0,4;1,37;2,06;1,71
"2026-06-15 10:04";"0.50/200/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;10,62;9,46;2,53;1,37;2,4;1,71
"2026-06-15 10:04";"0.20/225/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;3,65;9,46;-4,44;1,37;1,96;1,71
"2026-06-15 10:04";"0.30/225/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;5,47;9,46;-2,62;1,37;1,86;1,71
"2026-06-15 10:04";"0.35/225/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;6,38;9,46;-1,71;1,37;1,87;1,71
"2026-06-15 10:04";"0.40/225/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;7,29;9,46;-0,8;1,37;1,92;1,71
"2026-06-15 10:04";"0.50/225/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;9,11;9,46;1,02;1,37;2,13;1,71
"2026-06-15 10:04";"0.20/250/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;3,14;9,46;-4,95;1,37;2,01;1,71
"2026-06-15 10:04";"0.30/250/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;4,72;9,46;-3,37;1,37;1,87;1,71
"2026-06-15 10:04";"0.35/250/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;5,5;9,46;-2,59;1,37;1,85;1,71
"2026-06-15 10:04";"0.40/250/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;6,29;9,46;-1,8;1,37;1,86;1,71
"2026-06-15 10:04";"0.50/250/2";"GRAND ETANG LA ROUE";2025-10-30;2025-11-03;53,73;8,09;7,86;9,46;-0,23;1,37;1,97;1,71
