Annee_Gestion;Scenario;Etang;Nb_Jours_Total;Jours_Rempli_Plus_80;Jours_Moins_15_Pourcent;Volume_Ruissele_m3;Volume_Evapore_m3;Volume_Sortant_m3;Taux_Renouvellement;CR_Annuel_Global;Nb_Jours_Avec_Sonde;RMSE_Volume_m3;Nb_Orages_Valides;CR_Terrain_Moyen;CR_Modele_Moyen;Biais_CR
2010-2011;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;83;103;33578;24758;148720;0.31;11.3;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;0;81;30769;46184;40263;0.28;9.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;151;16;54923;86893;192341;0.5;13.8;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;56;264;73742;34849;215366;0.67;18.9;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;161;62051;-33109;79988;0.56;21.7;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;100;47;53860;66456;80128;0.49;14.7;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;27;98;21290;2584;122552;0.19;8.3;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;124;32032;10476;33905;0.29;10.4;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;320;41065;12031;99250;0.37;14.2;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;0;168;41900;-31011;40147;0.38;15.1;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;114;53;90544;93615;173332;0.82;21.5;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;84;130;27331;18606;154172;0.25;10.5;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;148;22898;6488;47469;0.21;8.2;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;36;285;121588;77216;278549;1.11;27.2;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;148;60797;-9645;53302;0.55;17.6;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;85;171;15379;7383;73148;0.26;8;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;24;39;13598;14020;21096;0.23;6.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;105;24;25677;26432;87579;0.44;9.9;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;44;277;29665;10815;108260;0.51;11.7;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;0;137;26905;-11372;38208;0.46;14.5;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;111;70;26133;18476;45427;0.45;11;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;83;275;9371;-897;66790;0.16;5.6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;6;124;14866;3171;9178;0.25;7.5;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;0;279;15796;1063;64737;0.27;8.4;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;0;176;16971;-9709;24200;0.29;9.4;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;114;51;47938;28441;72784;0.82;17.6;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;85;34;12310;-10496;72273;0.21;7.3;51;11036;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;0;213;10224;7528;39176;0.18;5.6;365;9348;8;17.7;2.1;-15.7
2023-2024;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;307;49;51130;30331;98184;0.88;17.6;366;12411;22;32.8;15.6;-17.2
2024-2025;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;99;43;23682;9835;75039;0.41;10.6;365;21133;11;32.4;7.4;-25
2010-2011;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;365;18992;1116;15774;0.55;11.5;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;366;0;171;14591;12373;17868;0.42;7.9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;46;38;26707;23440;46164;0.77;12;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;52;245;29733;13734;60881;0.86;13.7;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;225;26825;-3669;23156;0.77;16.8;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;366;86;27;26795;17663;20018;0.77;13.1;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;63;239;9982;6795;39236;0.29;7;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;349;19069;6351;27401;0.55;11.2;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;344;15321;279;7801;0.44;9.5;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;366;6;254;15490;10827;32943;0.45;10;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;73;60;46635;25372;43523;1.35;19.9;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;116;245;14086;12497;56240;0.41;9.7;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;365;12414;-1742;9476;0.36;8;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;366;62;274;55808;21449;78452;1.61;22.4;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;365;30345;4;30348;0.88;15.8;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;280;77;22890;-808;266244;0.11;10.8;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;366;61;8;14921;38253;284953;0.07;6.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;280;11;28235;72299;640223;0.13;9.9;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;341;7;27553;67194;537301;0.13;9.8;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;61;294;28503;26823;671826;0.13;13.9;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;366;149;80;33342;34219;168288;0.15;12.7;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;334;7;10278;-14859;358991;0.05;5.6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;140;12;16311;8487;178744;0.08;7.4;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;0;13;14534;-5506;182864;0.07;7;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;366;11;297;21687;19248;458816;0.1;10.9;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;114;80;62465;50580;299383;0.29;20.7;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;308;6;13520;-28706;532574;0.06;7.3;51;31671;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;0;12;11186;-1133;222723;0.05;5.6;365;28463;5;24.5;1.3;-23.2
2023-2024;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;366;157;9;56243;78644;577919;0.26;17.6;366;60709;8;37.7;15.6;-22.1
2024-2025;L0.05_Pant10_CN_base_20260519;CORVEYZIEUX;365;329;6;25953;26867;582583;0.12;10.5;365;38781;5;47.1;4.7;-42.3
2010-2011;L0.05_Pant10_CN_base_20260519;FOUR;365;0;314;13606;11815;171808;0.15;10.5;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;FOUR;366;0;84;8577;30109;4583;0.1;5.9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;FOUR;365;284;10;15701;56650;188389;0.18;9;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;FOUR;365;301;12;15345;52816;168766;0.17;8.9;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;FOUR;365;271;8;14081;-1760;126831;0.16;11.2;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;FOUR;366;0;316;25949;14737;137908;0.29;16.1;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;FOUR;365;210;62;6664;-17018;23499;0.08;5.9;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;FOUR;365;22;35;9037;7780;55935;0.1;6.7;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;FOUR;365;171;37;7981;-3373;32915;0.09;6.3;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;FOUR;366;47;30;9182;-8682;110950;0.1;7.5;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;FOUR;365;0;350;48016;18204;169723;0.54;26;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;FOUR;365;181;61;9232;-28924;50608;0.1;8.1;51;10877;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;FOUR;365;0;22;6155;569;38283;0.07;5;365;17613;7;20.4;1.3;-19.1
2023-2024;L0.05_Pant10_CN_base_20260519;FOUR;366;226;20;32187;61772;198386;0.36;16.4;81;23027;3;39.3;16.5;-22.7
2024-2025;L0.05_Pant10_CN_base_20260519;FOUR;365;44;311;21348;21196;219448;0.24;14.1;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;FRENE;365;322;2;25943;5169;242458;0.95;11.4;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;FRENE;366;358;2;23787;9775;97175;0.87;9.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;FRENE;365;357;2;42430;18518;318511;1.55;13.8;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;FRENE;365;352;6;40897;17220;246850;1.49;13.6;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;FRENE;365;282;6;34384;-743;126499;1.26;15.6;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;FRENE;366;324;2;41600;12829;124905;1.52;14.7;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;FRENE;365;254;2;16459;-3840;219190;0.6;8.3;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;FRENE;365;234;10;24768;2135;85057;0.9;10.5;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;FRENE;365;271;9;23078;-1491;75392;0.84;10.3;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;FRENE;366;60;303;26465;3902;112422;0.97;12.4;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;FRENE;365;297;65;72866;12762;162509;2.66;22.5;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;FRENE;365;279;2;21122;-7388;262056;0.77;10.5;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;FRENE;365;284;8;17723;-212;99707;0.65;8.2;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;FRENE;366;312;7;76360;20156;223152;2.79;22.1;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;FRENE;365;35;302;41058;6704;300571;1.5;15.4;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;48;278;31813;19136;102244;0.37;7.9;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;366;0;120;26727;23368;7607;0.31;5.9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;9;31;49492;48566;92404;0.57;9.1;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;16;29;48006;45705;83749;0.56;9;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;42;119;44054;10872;113030;0.51;11.3;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;366;0;301;58805;17346;76151;0.68;11.8;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;0;365;20542;-797;15790;0.24;5.9;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;0;124;28246;6906;11655;0.33;6.8;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;0;181;25330;1068;38347;0.29;6.4;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;366;0;209;28688;10497;52352;0.33;7.6;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;113;57;94792;52518;73477;1.1;16.5;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;80;278;26836;12001;115005;0.31;7.6;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;0;365;23803;55;23858;0.28;6.2;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;366;99;102;112069;22658;70624;1.3;18.4;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;GRAND ETANG LA ROUE;365;55;59;45869;18123;105432;0.53;9.8;154;32802;6;35.8;13.6;-22.2
2010-2011;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;20;10739;29364;216124;0.07;8.6;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;366;0;55;9667;57069;62443;0.06;6.9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;294;35069;50060;257258;0.23;20.8;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;365;45529;884;189406;0.3;27.5;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;160;33810;-27019;78316;0.23;27.9;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;366;69;73;18403;80327;78927;0.12;11.9;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;289;6582;38053;204247;0.04;6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;365;26123;6172;57223;0.17;20.1;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;365;23865;1031;62944;0.16;19.4;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;366;0;142;18657;-22308;56110;0.12;15.9;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;73;62;33032;114720;100872;0.22;18.6;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;67;133;8621;6157;238079;0.06;7.8;51;80423;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;0;365;13557;28407;91706;0.09;11.5;179;31535;1;1.2;0;-1.2
2023-2024;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;366;92;99;63462;53008;123465;0.42;33.6;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;GRAND RONZUEL;365;30;17;16402;38803;232722;0.11;11.2;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;GRANGES;365;111;193;21339;7745;39394;1.05;10;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;GRANGES;366;11;68;19319;8451;17508;0.95;8.1;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;GRANGES;365;92;246;37558;11257;63803;1.85;13;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;GRANGES;365;43;125;36375;5517;22802;1.79;12.9;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;GRANGES;365;117;73;29289;2668;51046;1.44;14.2;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;GRANGES;366;115;26;35043;12067;33801;1.73;13.3;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;GRANGES;365;64;246;14026;4824;32160;0.69;7.6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;GRANGES;365;116;124;20950;-2062;9247;1.03;9.5;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;GRANGES;365;22;177;18742;1233;20835;0.92;9;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;GRANGES;366;68;193;20324;5288;33431;1;10.2;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;GRANGES;365;81;272;66119;10501;77581;3.26;21.8;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;GRANGES;365;0;344;18870;-3217;15652;0.93;10.1;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;GRANGES;365;0;311;15292;7447;22739;0.75;7.6;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;GRANGES;366;0;366;74986;102;75088;3.7;23.3;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;GRANGES;365;0;365;36023;3;36026;1.78;14.5;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;LECHERE;365;11;149;8774;5127;25040;0.35;10;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;LECHERE;366;0;120;7962;9554;7336;0.31;8.2;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;LECHERE;365;0;303;18743;4418;35861;0.74;15.9;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;LECHERE;365;20;109;14951;11704;7061;0.59;13;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;LECHERE;365;22;57;12060;477;32131;0.48;14.3;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;LECHERE;366;58;83;14389;13569;11316;0.57;13.3;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;LECHERE;365;0;134;5493;2262;22997;0.22;7.2;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;LECHERE;365;0;365;11511;-291;12621;0.45;12.7;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;LECHERE;365;0;129;8140;554;4097;0.32;9.5;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;LECHERE;366;0;137;8382;2419;14578;0.33;10.2;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;LECHERE;365;109;78;24905;18988;23249;0.98;20.1;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;LECHERE;365;60;160;7106;2434;31005;0.28;9.3;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;LECHERE;365;0;365;7889;2791;10681;0.31;9.6;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;LECHERE;366;117;88;31551;11144;25831;1.25;23.9;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;LECHERE;365;25;60;13037;6724;31000;0.51;12.8;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;1;279;6906;13989;45929;0.13;10;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;366;0;120;5517;17010;3913;0.11;7.2;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;37;9026;35352;43209;0.17;9.7;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;280;14966;14487;49236;0.29;16.4;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;228;13766;127;13893;0.26;20.6;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;366;0;70;9272;26915;17280;0.18;10.9;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;280;4380;11504;34791;0.08;7.3;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;136;5544;2567;3161;0.11;7.8;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;301;4604;8919;13044;0.09;6.8;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;366;0;331;7425;13118;25972;0.14;11.5;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;3;110;21798;24466;11965;0.42;22.3;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;22;146;4279;8147;46724;0.08;7.1;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;352;5449;10007;15456;0.1;8.4;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;366;0;366;35266;1291;36557;0.68;33.9;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;LECHERE DU FRAYET;365;0;180;11768;-616;9408;0.23;14.6;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;LES RAGES;365;190;19;17234;3063;16827;1.27;10.8;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;LES RAGES;366;180;59;16076;6100;25645;1.19;9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;LES RAGES;365;0;365;31735;58;31793;2.35;14.7;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;LES RAGES;365;0;312;30351;1790;24911;2.25;14.4;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;LES RAGES;365;249;59;23464;3572;34266;1.74;15.2;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;LES RAGES;366;179;74;28539;9962;38501;2.11;14.4;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;LES RAGES;365;38;101;10915;1315;12230;0.81;7.9;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;LES RAGES;365;0;365;18698;174;18872;1.38;11.3;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;LES RAGES;365;0;365;16959;0;16959;1.25;10.8;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;LES RAGES;366;0;366;18415;422;18222;1.36;12.3;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;LES RAGES;365;317;34;48351;9732;48221;3.58;21.3;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;LES RAGES;365;235;59;14008;1649;26134;1.04;10;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;LES RAGES;365;145;123;11808;2831;13956;0.87;7.8;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;LES RAGES;366;257;79;52592;13360;65941;3.89;21.8;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;LES RAGES;365;259;85;25488;6701;32192;1.89;13.7;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;LIGNIERE;365;277;25;252;33128;227762;0;6.5;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;LIGNIERE;366;321;22;215;62544;322619;0;5;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;LIGNIERE;365;324;19;423;117219;782132;0;8.1;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;LIGNIERE;365;323;20;414;106895;611012;0;8.1;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;LIGNIERE;365;272;19;388;-1733;759226;0;10.4;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;LIGNIERE;366;60;25;439;81775;228633;0;9.2;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;LIGNIERE;365;251;24;149;-22500;333587;0;4.4;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;LIGNIERE;365;196;25;242;17976;207878;0;6;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;LIGNIERE;365;180;25;211;-2214;182450;0;5.6;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;LIGNIERE;366;260;26;248;-15835;439212;0;6.8;0;NA;0;NA;NA;NA
