OBJECTID;NOM;Exutoire_1;Vidange2025;peche2025;Vidange2026;peche2026;Vidange2027;peche2027;Vidange2028;peche2028;Vidange2029;peche2029;Vidange2030;peche2030;Vidange2031;peche2031;Vidange2032;peche2032;Vidange2033;peche2033;Vidange2034;peche2034;Vidange2035;peche2035;Vidange2036;peche2036;Vidange2037;peche2037;Vidange2038;peche2038;Vidange2039;peche2039;Vidange2040;peche2040;Vidange2041;peche2041;Vidange2042;peche2042;Vidange2043;peche2043;Vidange2044;peche2044;Vidange2045;peche2045;Vidange2046;peche2046;Vidange2047;peche2047;Vidange2048;peche2048;Vidange2049;peche2049;Vidange2050;peche2050;Vidange2051;peche2051;Vidange2052;peche2052;Vidange2053;peche2053;Vidange2054;peche2054;Vidange2055;peche2055;Vidange2056;peche2056;Vidange2057;peche2057;Vidange2058;peche2058;Vidange2059;peche2059;Vidange2060;peche2060;Vidange2061;peche2061;Vidange2062;peche2062;Vidange2063;peche2063;Vidange2064;peche2064;Vidange2065;peche2065;Vidange2066;peche2066;Vidange2067;peche2067;Vidange2068;peche2068;Vidange2069;peche2069;Vidange2070;peche2070
801;BIETONNAY;TRIPOUX;2025-10-27;2025-11-15;2026-11-03;2026-11-22;2027-10-27;2027-11-15;2028-10-27;2028-11-15;2029-10-27;2029-11-15;2030-10-27;2030-11-15;2031-11-03;2031-11-22;2032-10-27;2032-11-15;2033-10-27;2033-11-15;2034-10-27;2034-11-15;2035-10-27;2035-11-15;2036-11-03;2036-11-22;2037-10-27;2037-11-15;2038-10-27;2038-11-15;2039-10-27;2039-11-15;2040-10-27;2040-11-15;2041-11-03;2041-11-22;2042-10-27;2042-11-15;2043-10-27;2043-11-15;2044-10-27;2044-11-15;2045-10-27;2045-11-15;2046-11-03;2046-11-22;2047-10-27;2047-11-15;2048-10-27;2048-11-15;2049-10-27;2049-11-15;2050-10-27;2050-11-15;2051-11-03;2051-11-22;2052-10-27;2052-11-15;2053-10-27;2053-11-15;2054-10-27;2054-11-15;2055-10-27;2055-11-15;2056-11-03;2056-11-22;2057-10-27;2057-11-15;2058-10-27;2058-11-15;2059-10-27;2059-11-15;2060-10-27;2060-11-15;2061-11-03;2061-11-22;2062-10-27;2062-11-15;2063-10-27;2063-11-15;2064-10-27;2064-11-15;2065-10-27;2065-11-15;2066-11-03;2066-11-22;2067-10-27;2067-11-15;2068-10-27;2068-11-15;2069-10-27;2069-11-15;2070-10-27;2070-11-15
844;ONDONNIERE;TRIPOUX;2025-10-27;2025-11-08;2026-10-27;2026-11-08;2027-11-10;2027-11-22;2028-10-27;2028-11-08;2029-10-27;2029-11-08;2030-10-27;2030-11-08;2031-10-27;2031-11-08;2032-11-10;2032-11-22;2033-10-27;2033-11-08;2034-10-27;2034-11-08;2035-10-27;2035-11-08;2036-10-27;2036-11-08;2037-11-10;2037-11-22;2038-10-27;2038-11-08;2039-10-27;2039-11-08;2040-10-27;2040-11-08;2041-10-27;2041-11-08;2042-11-10;2042-11-22;2043-10-27;2043-11-08;2044-10-27;2044-11-08;2045-10-27;2045-11-08;2046-10-27;2046-11-08;2047-11-10;2047-11-22;2048-10-27;2048-11-08;2049-10-27;2049-11-08;2050-10-27;2050-11-08;2051-10-27;2051-11-08;2052-11-10;2052-11-22;2053-10-27;2053-11-08;2054-10-27;2054-11-08;2055-10-27;2055-11-08;2056-10-27;2056-11-08;2057-11-10;2057-11-22;2058-10-27;2058-11-08;2059-10-27;2059-11-08;2060-10-27;2060-11-08;2061-10-27;2061-11-08;2062-11-10;2062-11-22;2063-10-27;2063-11-08;2064-10-27;2064-11-08;2065-10-27;2065-11-08;2066-10-27;2066-11-08;2067-11-10;2067-11-22;2068-10-27;2068-11-08;2069-10-27;2069-11-08;2070-10-27;2070-11-08
775;RIOUX;TRIPOUX;2025-10-27;2025-11-04;2026-10-27;2026-11-04;2027-10-27;2027-11-04;2028-10-27;2028-11-04;2029-10-27;2029-11-04;2030-11-14;2030-11-22;2031-10-27;2031-11-04;2032-10-27;2032-11-04;2033-10-27;2033-11-04;2034-10-27;2034-11-04;2035-11-14;2035-11-22;2036-10-27;2036-11-04;2037-10-27;2037-11-04;2038-10-27;2038-11-04;2039-10-27;2039-11-04;2040-11-14;2040-11-22;2041-10-27;2041-11-04;2042-10-27;2042-11-04;2043-10-27;2043-11-04;2044-10-27;2044-11-04;2045-11-14;2045-11-22;2046-10-27;2046-11-04;2047-10-27;2047-11-04;2048-10-27;2048-11-04;2049-10-27;2049-11-04;2050-11-14;2050-11-22;2051-10-27;2051-11-04;2052-10-27;2052-11-04;2053-10-27;2053-11-04;2054-10-27;2054-11-04;2055-11-14;2055-11-22;2056-10-27;2056-11-04;2057-10-27;2057-11-04;2058-10-27;2058-11-04;2059-10-27;2059-11-04;2060-11-14;2060-11-22;2061-10-27;2061-11-04;2062-10-27;2062-11-04;2063-10-27;2063-11-04;2064-10-27;2064-11-04;2065-11-14;2065-11-22;2066-10-27;2066-11-04;2067-10-27;2067-11-04;2068-10-27;2068-11-04;2069-10-27;2069-11-04;2070-10-27;2070-11-04
672;REMONDET SUD;PARADIS;2025-10-29;2025-11-23;2026-10-29;2026-11-23;2027-11-05;2027-11-30;2028-10-29;2028-11-23;2029-10-29;2029-11-23;2030-10-29;2030-11-23;2031-10-29;2031-11-23;2032-11-05;2032-11-30;2033-10-29;2033-11-23;2034-10-29;2034-11-23;2035-10-29;2035-11-23;2036-10-29;2036-11-23;2037-11-05;2037-11-30;2038-10-29;2038-11-23;2039-10-29;2039-11-23;2040-10-29;2040-11-23;2041-10-29;2041-11-23;2042-11-05;2042-11-30;2043-10-29;2043-11-23;2044-10-29;2044-11-23;2045-10-29;2045-11-23;2046-10-29;2046-11-23;2047-11-05;2047-11-30;2048-10-29;2048-11-23;2049-10-29;2049-11-23;2050-10-29;2050-11-23;2051-10-29;2051-11-23;2052-11-05;2052-11-30;2053-10-29;2053-11-23;2054-10-29;2054-11-23;2055-10-29;2055-11-23;2056-10-29;2056-11-23;2057-11-05;2057-11-30;2058-10-29;2058-11-23;2059-10-29;2059-11-23;2060-10-29;2060-11-23;2061-10-29;2061-11-23;2062-11-05;2062-11-30;2063-10-29;2063-11-23;2064-10-29;2064-11-23;2065-10-29;2065-11-23;2066-10-29;2066-11-23;2067-11-05;2067-11-30;2068-10-29;2068-11-23;2069-10-29;2069-11-23;2070-10-29;2070-11-23
743;VIEUX;PARADIS;2025-10-29;2025-11-05;2026-10-29;2026-11-05;2027-10-29;2027-11-05;2028-10-29;2028-11-05;2029-10-29;2029-11-05;2030-11-23;2030-11-30;2031-10-29;2031-11-05;2032-10-29;2032-11-05;2033-10-29;2033-11-05;2034-10-29;2034-11-05;2035-11-23;2035-11-30;2036-10-29;2036-11-05;2037-10-29;2037-11-05;2038-10-29;2038-11-05;2039-10-29;2039-11-05;2040-11-23;2040-11-30;2041-10-29;2041-11-05;2042-10-29;2042-11-05;2043-10-29;2043-11-05;2044-10-29;2044-11-05;2045-11-23;2045-11-30;2046-10-29;2046-11-05;2047-10-29;2047-11-05;2048-10-29;2048-11-05;2049-10-29;2049-11-05;2050-11-23;2050-11-30;2051-10-29;2051-11-05;2052-10-29;2052-11-05;2053-10-29;2053-11-05;2054-10-29;2054-11-05;2055-11-23;2055-11-30;2056-10-29;2056-11-05;2057-10-29;2057-11-05;2058-10-29;2058-11-05;2059-10-29;2059-11-05;2060-11-23;2060-11-30;2061-10-29;2061-11-05;2062-10-29;2062-11-05;2063-10-29;2063-11-05;2064-10-29;2064-11-05;2065-11-23;2065-11-30;2066-10-29;2066-11-05;2067-10-29;2067-11-05;2068-10-29;2068-11-05;2069-10-29;2069-11-05;2070-10-29;2070-11-05
678;POLLET;VIEUX;2025-11-06;2025-11-25;2026-11-06;2026-11-25;2027-11-06;2027-11-25;2028-11-06;2028-11-25;2029-11-13;2029-12-02;2030-11-06;2030-11-25;2031-11-06;2031-11-25;2032-11-06;2032-11-25;2033-11-06;2033-11-25;2034-11-13;2034-12-02;2035-11-06;2035-11-25;2036-11-06;2036-11-25;2037-11-06;2037-11-25;2038-11-06;2038-11-25;2039-11-13;2039-12-02;2040-11-06;2040-11-25;2041-11-06;2041-11-25;2042-11-06;2042-11-25;2043-11-06;2043-11-25;2044-11-13;2044-12-02;2045-11-06;2045-11-25;2046-11-06;2046-11-25;2047-11-06;2047-11-25;2048-11-06;2048-11-25;2049-11-13;2049-12-02;2050-11-06;2050-11-25;2051-11-06;2051-11-25;2052-11-06;2052-11-25;2053-11-06;2053-11-25;2054-11-13;2054-12-02;2055-11-06;2055-11-25;2056-11-06;2056-11-25;2057-11-06;2057-11-25;2058-11-06;2058-11-25;2059-11-13;2059-12-02;2060-11-06;2060-11-25;2061-11-06;2061-11-25;2062-11-06;2062-11-25;2063-11-06;2063-11-25;2064-11-13;2064-12-02;2065-11-06;2065-11-25;2066-11-06;2066-11-25;2067-11-06;2067-11-25;2068-11-06;2068-11-25;2069-11-13;2069-12-02;2070-11-06;2070-11-25
853;LONGEVAVRE;ONDONNIERE;2025-11-09;2025-11-16;2026-11-16;2026-11-23;2027-11-09;2027-11-16;2028-11-09;2028-11-16;2029-11-09;2029-11-16;2030-11-09;2030-11-16;2031-11-16;2031-11-23;2032-11-09;2032-11-16;2033-11-09;2033-11-16;2034-11-09;2034-11-16;2035-11-09;2035-11-16;2036-11-16;2036-11-23;2037-11-09;2037-11-16;2038-11-09;2038-11-16;2039-11-09;2039-11-16;2040-11-09;2040-11-16;2041-11-16;2041-11-23;2042-11-09;2042-11-16;2043-11-09;2043-11-16;2044-11-09;2044-11-16;2045-11-09;2045-11-16;2046-11-16;2046-11-23;2047-11-09;2047-11-16;2048-11-09;2048-11-16;2049-11-09;2049-11-16;2050-11-09;2050-11-16;2051-11-16;2051-11-23;2052-11-09;2052-11-16;2053-11-09;2053-11-16;2054-11-09;2054-11-16;2055-11-09;2055-11-16;2056-11-16;2056-11-23;2057-11-09;2057-11-16;2058-11-09;2058-11-16;2059-11-09;2059-11-16;2060-11-09;2060-11-16;2061-11-16;2061-11-23;2062-11-09;2062-11-16;2063-11-09;2063-11-16;2064-11-09;2064-11-16;2065-11-09;2065-11-16;2066-11-16;2066-11-23;2067-11-09;2067-11-16;2068-11-09;2068-11-16;2069-11-09;2069-11-16;2070-11-09;2070-11-16
826;GRANGES;BIETONNAY;2025-11-23;2025-11-27;2026-11-16;2026-11-20;2027-11-16;2027-11-20;2028-11-16;2028-11-20;2029-11-16;2029-11-20;2030-11-23;2030-11-27;2031-11-16;2031-11-20;2032-11-16;2032-11-20;2033-11-16;2033-11-20;2034-11-16;2034-11-20;2035-11-23;2035-11-27;2036-11-16;2036-11-20;2037-11-16;2037-11-20;2038-11-16;2038-11-20;2039-11-16;2039-11-20;2040-11-23;2040-11-27;2041-11-16;2041-11-20;2042-11-16;2042-11-20;2043-11-16;2043-11-20;2044-11-16;2044-11-20;2045-11-23;2045-11-27;2046-11-16;2046-11-20;2047-11-16;2047-11-20;2048-11-16;2048-11-20;2049-11-16;2049-11-20;2050-11-23;2050-11-27;2051-11-16;2051-11-20;2052-11-16;2052-11-20;2053-11-16;2053-11-20;2054-11-16;2054-11-20;2055-11-23;2055-11-27;2056-11-16;2056-11-20;2057-11-16;2057-11-20;2058-11-16;2058-11-20;2059-11-16;2059-11-20;2060-11-23;2060-11-27;2061-11-16;2061-11-20;2062-11-16;2062-11-20;2063-11-16;2063-11-20;2064-11-16;2064-11-20;2065-11-23;2065-11-27;2066-11-16;2066-11-20;2067-11-16;2067-11-20;2068-11-16;2068-11-20;2069-11-16;2069-11-20;2070-11-16;2070-11-20
871;CHANTEMERLE;LONGEVAVRE;2025-11-24;2025-11-29;2026-11-17;2026-11-22;2027-11-17;2027-11-22;2028-11-17;2028-11-22;2029-11-17;2029-11-22;2030-11-24;2030-11-29;2031-11-17;2031-11-22;2032-11-17;2032-11-22;2033-11-17;2033-11-22;2034-11-17;2034-11-22;2035-11-24;2035-11-29;2036-11-17;2036-11-22;2037-11-17;2037-11-22;2038-11-17;2038-11-22;2039-11-17;2039-11-22;2040-11-24;2040-11-29;2041-11-17;2041-11-22;2042-11-17;2042-11-22;2043-11-17;2043-11-22;2044-11-17;2044-11-22;2045-11-24;2045-11-29;2046-11-17;2046-11-22;2047-11-17;2047-11-22;2048-11-17;2048-11-22;2049-11-17;2049-11-22;2050-11-24;2050-11-29;2051-11-17;2051-11-22;2052-11-17;2052-11-22;2053-11-17;2053-11-22;2054-11-17;2054-11-22;2055-11-24;2055-11-29;2056-11-17;2056-11-22;2057-11-17;2057-11-22;2058-11-17;2058-11-22;2059-11-17;2059-11-22;2060-11-24;2060-11-29;2061-11-17;2061-11-22;2062-11-17;2062-11-22;2063-11-17;2063-11-22;2064-11-17;2064-11-22;2065-11-24;2065-11-29;2066-11-17;2066-11-22;2067-11-17;2067-11-22;2068-11-17;2068-11-22;2069-11-17;2069-11-22;2070-11-17;2070-11-22
619;LIGNIERE;REMONDET SUD;2025-11-24;2025-12-19;2026-12-01;2026-12-26;2027-11-24;2027-12-19;2028-11-24;2028-12-19;2029-11-24;2029-12-19;2030-11-24;2030-12-19;2031-12-01;2031-12-26;2032-11-24;2032-12-19;2033-11-24;2033-12-19;2034-11-24;2034-12-19;2035-11-24;2035-12-19;2036-12-01;2036-12-26;2037-11-24;2037-12-19;2038-11-24;2038-12-19;2039-11-24;2039-12-19;2040-11-24;2040-12-19;2041-12-01;2041-12-26;2042-11-24;2042-12-19;2043-11-24;2043-12-19;2044-11-24;2044-12-19;2045-11-24;2045-12-19;2046-12-01;2046-12-26;2047-11-24;2047-12-19;2048-11-24;2048-12-19;2049-11-24;2049-12-19;2050-11-24;2050-12-19;2051-12-01;2051-12-26;2052-11-24;2052-12-19;2053-11-24;2053-12-19;2054-11-24;2054-12-19;2055-11-24;2055-12-19;2056-12-01;2056-12-26;2057-11-24;2057-12-19;2058-11-24;2058-12-19;2059-11-24;2059-12-19;2060-11-24;2060-12-19;2061-12-01;2061-12-26;2062-11-24;2062-12-19;2063-11-24;2063-12-19;2064-11-24;2064-12-19;2065-11-24;2065-12-19;2066-12-01;2066-12-26;2067-11-24;2067-12-19;2068-11-24;2068-12-19;2069-11-24;2069-12-19;2070-11-24;2070-12-19
611;REMONDET NORD;REMONDET SUD;2025-11-24;2025-12-12;2026-11-24;2026-12-12;2027-11-24;2027-12-12;2028-11-24;2028-12-12;2029-11-24;2029-12-12;2030-12-08;2030-12-26;2031-11-24;2031-12-12;2032-11-24;2032-12-12;2033-11-24;2033-12-12;2034-11-24;2034-12-12;2035-12-08;2035-12-26;2036-11-24;2036-12-12;2037-11-24;2037-12-12;2038-11-24;2038-12-12;2039-11-24;2039-12-12;2040-12-08;2040-12-26;2041-11-24;2041-12-12;2042-11-24;2042-12-12;2043-11-24;2043-12-12;2044-11-24;2044-12-12;2045-12-08;2045-12-26;2046-11-24;2046-12-12;2047-11-24;2047-12-12;2048-11-24;2048-12-12;2049-11-24;2049-12-12;2050-12-08;2050-12-26;2051-11-24;2051-12-12;2052-11-24;2052-12-12;2053-11-24;2053-12-12;2054-11-24;2054-12-12;2055-12-08;2055-12-26;2056-11-24;2056-12-12;2057-11-24;2057-12-12;2058-11-24;2058-12-12;2059-11-24;2059-12-12;2060-12-08;2060-12-26;2061-11-24;2061-12-12;2062-11-24;2062-12-12;2063-11-24;2063-12-12;2064-11-24;2064-12-12;2065-12-08;2065-12-26;2066-11-24;2066-12-12;2067-11-24;2067-12-12;2068-11-24;2068-12-12;2069-11-24;2069-12-12;2070-11-24;2070-12-12
699;PLAT;POLLET;2025-11-26;2025-12-13;2026-11-26;2026-12-13;2027-11-26;2027-12-13;2028-12-03;2028-12-20;2029-11-26;2029-12-13;2030-11-26;2030-12-13;2031-11-26;2031-12-13;2032-11-26;2032-12-13;2033-12-03;2033-12-20;2034-11-26;2034-12-13;2035-11-26;2035-12-13;2036-11-26;2036-12-13;2037-11-26;2037-12-13;2038-12-03;2038-12-20;2039-11-26;2039-12-13;2040-11-26;2040-12-13;2041-11-26;2041-12-13;2042-11-26;2042-12-13;2043-12-03;2043-12-20;2044-11-26;2044-12-13;2045-11-26;2045-12-13;2046-11-26;2046-12-13;2047-11-26;2047-12-13;2048-12-03;2048-12-20;2049-11-26;2049-12-13;2050-11-26;2050-12-13;2051-11-26;2051-12-13;2052-11-26;2052-12-13;2053-12-03;2053-12-20;2054-11-26;2054-12-13;2055-11-26;2055-12-13;2056-11-26;2056-12-13;2057-11-26;2057-12-13;2058-12-03;2058-12-20;2059-11-26;2059-12-13;2060-11-26;2060-12-13;2061-11-26;2061-12-13;2062-11-26;2062-12-13;2063-12-03;2063-12-20;2064-11-26;2064-12-13;2065-11-26;2065-12-13;2066-11-26;2066-12-13;2067-11-26;2067-12-13;2068-12-03;2068-12-20;2069-11-26;2069-12-13;2070-11-26;2070-12-13
730;FOUR;PLAT;2025-12-21;2026-01-02;2026-12-14;2026-12-26;2027-12-21;2028-01-02;2028-12-14;2028-12-26;2029-12-14;2029-12-26;2030-12-14;2030-12-26;2031-12-14;2031-12-26;2032-12-21;2033-01-02;2033-12-14;2033-12-26;2034-12-14;2034-12-26;2035-12-14;2035-12-26;2036-12-14;2036-12-26;2037-12-21;2038-01-02;2038-12-14;2038-12-26;2039-12-14;2039-12-26;2040-12-14;2040-12-26;2041-12-14;2041-12-26;2042-12-21;2043-01-02;2043-12-14;2043-12-26;2044-12-14;2044-12-26;2045-12-14;2045-12-26;2046-12-14;2046-12-26;2047-12-21;2048-01-02;2048-12-14;2048-12-26;2049-12-14;2049-12-26;2050-12-14;2050-12-26;2051-12-14;2051-12-26;2052-12-21;2053-01-02;2053-12-14;2053-12-26;2054-12-14;2054-12-26;2055-12-14;2055-12-26;2056-12-14;2056-12-26;2057-12-21;2058-01-02;2058-12-14;2058-12-26;2059-12-14;2059-12-26;2060-12-14;2060-12-26;2061-12-14;2061-12-26;2062-12-21;2063-01-02;2063-12-14;2063-12-26;2064-12-14;2064-12-26;2065-12-14;2065-12-26;2066-12-14;2066-12-26;2067-12-21;2068-01-02;2068-12-14;2068-12-26;2069-12-14;2069-12-26;2070-12-14;2070-12-26
762;CARRONNIER;FOUR;2025-12-27;2026-01-02;2027-01-03;2027-01-09;2027-12-27;2028-01-02;2028-12-27;2029-01-02;2029-12-27;2030-01-02;2030-12-27;2031-01-02;2032-01-03;2032-01-09;2032-12-27;2033-01-02;2033-12-27;2034-01-02;2034-12-27;2035-01-02;2035-12-27;2036-01-02;2037-01-03;2037-01-09;2037-12-27;2038-01-02;2038-12-27;2039-01-02;2039-12-27;2040-01-02;2040-12-27;2041-01-02;2042-01-03;2042-01-09;2042-12-27;2043-01-02;2043-12-27;2044-01-02;2044-12-27;2045-01-02;2045-12-27;2046-01-02;2047-01-03;2047-01-09;2047-12-27;2048-01-02;2048-12-27;2049-01-02;2049-12-27;2050-01-02;NA;NA;2052-01-03;2052-01-09;2052-12-27;2053-01-02;2053-12-27;2054-01-02;2054-12-27;2055-01-02;2055-12-27;2056-01-02;2057-01-03;2057-01-09;2057-12-27;2058-01-02;2058-12-27;2059-01-02;2059-12-27;2060-01-02;2060-12-27;2061-01-02;2062-01-03;2062-01-09;2062-12-27;2063-01-02;2063-12-27;2064-01-02;2064-12-27;2065-01-02;2065-12-27;2066-01-02;2067-01-03;2067-01-09;2067-12-27;2068-01-02;2068-12-27;2069-01-02;2069-12-27;2070-01-02;2070-12-27;2071-01-02
782;LECHERE;FOUR;2025-12-27;2025-12-31;2026-12-27;2026-12-31;2027-12-27;2027-12-31;2028-12-27;2028-12-31;2029-12-27;2029-12-31;2031-01-05;2031-01-09;2031-12-27;2031-12-31;2032-12-27;2032-12-31;2033-12-27;2033-12-31;2034-12-27;2034-12-31;2036-01-05;2036-01-09;2036-12-27;2036-12-31;2037-12-27;2037-12-31;2038-12-27;2038-12-31;2039-12-27;2039-12-31;2041-01-05;2041-01-09;2041-12-27;2041-12-31;2042-12-27;2042-12-31;2043-12-27;2043-12-31;2044-12-27;2044-12-31;2046-01-05;2046-01-09;2046-12-27;2046-12-31;2047-12-27;2047-12-31;2048-12-27;2048-12-31;2049-12-27;2049-12-31;2051-01-03;2051-01-07;2051-12-27;2051-12-31;2052-12-27;2052-12-31;2053-12-27;2053-12-31;2054-12-27;2054-12-31;2056-01-05;2056-01-09;2056-12-27;2056-12-31;2057-12-27;2057-12-31;2058-12-27;2058-12-31;2059-12-27;2059-12-31;2061-01-05;2061-01-09;2061-12-27;2061-12-31;2062-12-27;2062-12-31;2063-12-27;2063-12-31;2064-12-27;2064-12-31;2066-01-05;2066-01-09;2066-12-27;2066-12-31;2067-12-27;2067-12-31;2068-12-27;2068-12-31;2069-12-27;2069-12-31;2070-12-27;2070-12-31
641;PETIT ETANG LA ROUE;CORVEYZIEUX;2026-01-06;2026-01-11;2027-01-06;2027-01-11;2028-01-06;2028-01-11;2029-01-06;2029-01-11;2030-01-19;2030-01-24;2031-01-06;2031-01-11;2032-01-06;2032-01-11;2033-01-06;2033-01-11;2034-01-06;2034-01-11;2035-01-19;2035-01-24;2036-01-06;2036-01-11;2037-01-06;2037-01-11;2038-01-06;2038-01-11;2039-01-06;2039-01-11;2040-01-19;2040-01-24;2041-01-06;2041-01-11;2042-01-06;2042-01-11;2043-01-06;2043-01-11;2044-01-06;2044-01-11;2045-01-19;2045-01-24;2046-01-06;2046-01-11;2047-01-06;2047-01-11;2048-01-06;2048-01-11;2049-01-06;2049-01-11;2050-01-19;2050-01-24;NA;NA;2051-01-06;2052-01-11;2052-01-06;2053-01-11;2053-01-06;2054-01-11;2054-01-19;2055-01-24;2055-01-06;2056-01-11;2056-01-06;2057-01-11;2057-01-06;2058-01-11;2058-01-06;2059-01-11;2059-01-19;2060-01-24;2060-01-06;2061-01-11;2061-01-06;2062-01-11;2062-01-06;2063-01-11;2063-01-06;2064-01-11;2064-01-19;2065-01-24;2065-01-06;2066-01-11;2066-01-06;2067-01-11;2067-01-06;2068-01-11;2068-01-06;2069-01-11;2069-01-19;2070-01-24;2070-01-06;2071-01-11
582;QUEUE1;FOUR;2026-01-07;2026-01-09;2027-01-14;2027-01-16;2028-01-07;2028-01-09;2029-01-07;2029-01-09;2030-01-07;2030-01-09;2031-01-14;2031-01-16;2032-01-14;2032-01-16;2033-01-07;2033-01-09;2034-01-07;2034-01-09;2035-01-07;2035-01-09;2036-01-14;2036-01-16;2037-01-14;2037-01-16;2038-01-07;2038-01-09;2039-01-07;2039-01-09;2040-01-07;2040-01-09;2041-01-14;2041-01-16;2042-01-14;2042-01-16;2043-01-07;2043-01-09;2044-01-07;2044-01-09;2045-01-07;2045-01-09;2046-01-14;2046-01-16;2047-01-14;2047-01-16;2048-01-07;2048-01-09;2049-01-07;2049-01-09;2050-01-07;2050-01-09;2051-01-12;2051-01-14;2052-01-14;2052-01-16;2053-01-07;2053-01-09;2054-01-07;2054-01-09;2055-01-07;2055-01-09;2056-01-14;2056-01-16;2057-01-14;2057-01-16;2058-01-07;2058-01-09;2059-01-07;2059-01-09;2060-01-07;2060-01-09;2061-01-14;2061-01-16;2062-01-14;2062-01-16;2063-01-07;2063-01-09;2064-01-07;2064-01-09;2065-01-07;2065-01-09;2066-01-14;2066-01-16;2067-01-14;2067-01-16;2068-01-07;2068-01-09;2069-01-07;2069-01-09;2070-01-07;2070-01-09;2070-12-27;2070-12-29
581;QUEUE2;FOUR;2026-01-14;2026-01-16;2027-01-21;2027-01-23;2028-01-14;2028-01-16;2029-01-14;2029-01-16;2030-01-14;2030-01-16;2031-01-21;2031-01-23;2032-01-21;2032-01-23;2033-01-14;2033-01-16;2034-01-14;2034-01-16;2035-01-14;2035-01-16;2036-01-21;2036-01-23;2037-01-21;2037-01-23;2038-01-14;2038-01-16;2039-01-14;2039-01-16;2040-01-14;2040-01-16;2041-01-21;2041-01-23;2042-01-21;2042-01-23;2043-01-14;2043-01-16;2044-01-14;2044-01-16;2045-01-14;2045-01-16;2046-01-21;2046-01-23;2047-01-21;2047-01-23;2048-01-14;2048-01-16;2049-01-14;2049-01-16;2050-01-14;2050-01-16;2051-01-19;2051-01-21;2052-01-21;2052-01-23;2053-01-14;2053-01-16;2054-01-14;2054-01-16;2055-01-14;2055-01-16;2056-01-21;2056-01-23;2057-01-21;2057-01-23;2058-01-14;2058-01-16;2059-01-14;2059-01-16;2060-01-14;2060-01-16;2061-01-21;2061-01-23;2062-01-21;2062-01-23;2063-01-14;2063-01-16;2064-01-14;2064-01-16;2065-01-14;2065-01-16;2066-01-21;2066-01-23;2067-01-21;2067-01-23;2068-01-14;2068-01-16;2069-01-14;2069-01-16;2070-01-14;2070-01-16;2070-12-27;2070-12-29
695;GRAND RONZUEL;FRENE;2026-01-17;2026-02-09;2027-01-17;2027-02-09;2028-01-24;2028-02-16;2029-01-17;2029-02-09;2030-01-17;2030-02-09;2031-01-17;2031-02-09;2032-01-17;2032-02-09;2033-01-24;2033-02-16;2034-01-17;2034-02-09;2035-01-17;2035-02-09;2036-01-17;2036-02-09;2037-01-17;2037-02-09;2038-01-24;2038-02-16;2039-01-17;2039-02-09;2040-01-17;2040-02-09;2041-01-17;2041-02-09;2042-01-17;2042-02-09;2043-01-24;2043-02-16;2044-01-17;2044-02-09;2045-01-17;2045-02-09;2046-01-17;2046-02-09;2047-01-17;2047-02-09;2048-01-24;2048-02-16;2049-01-17;2049-02-09;2050-01-17;2050-02-09;NA;NA;2051-01-17;2052-02-09;2052-01-24;2053-02-16;2053-01-17;2054-02-09;2054-01-17;2055-02-09;2055-01-17;2056-02-09;2056-01-17;2057-02-09;2057-01-24;2058-02-16;2058-01-17;2059-02-09;2059-01-17;2060-02-09;2060-01-17;2061-02-09;2061-01-17;2062-02-09;2062-01-24;2063-02-16;2063-01-17;2064-02-09;2064-01-17;2065-02-09;2065-01-17;2066-02-09;2066-01-17;2067-02-09;2067-01-24;2068-02-16;2068-01-17;2069-02-09;2069-01-17;2070-02-09;2070-01-17;2071-02-09
583;FRENE;PETIT ETANG LA ROUE;2026-01-23;2026-01-27;2027-01-12;2027-01-16;2028-01-12;2028-01-16;2029-01-23;2029-01-27;2030-01-12;2030-01-16;2031-01-12;2031-01-16;2032-01-12;2032-01-16;2033-01-12;2033-01-16;2034-01-23;2034-01-27;2035-01-12;2035-01-16;2036-01-12;2036-01-16;2037-01-12;2037-01-16;2038-01-12;2038-01-16;2039-01-23;2039-01-27;2040-01-12;2040-01-16;2041-01-12;2041-01-16;2042-01-12;2042-01-16;2043-01-12;2043-01-16;2044-01-23;2044-01-27;2045-01-12;2045-01-16;2046-01-12;2046-01-16;2047-01-12;2047-01-16;2048-01-12;2048-01-16;2049-01-23;2049-01-27;2050-01-12;2050-01-16;NA;NA;2051-01-12;2052-01-16;2052-01-12;2053-01-16;2053-01-23;2054-01-27;2054-01-12;2055-01-16;2055-01-12;2056-01-16;2056-01-12;2057-01-16;2057-01-12;2058-01-16;2058-01-23;2059-01-27;2059-01-12;2060-01-16;2060-01-12;2061-01-16;2061-01-12;2062-01-16;2062-01-12;2063-01-16;2063-01-23;2064-01-27;2064-01-12;2065-01-16;2065-01-12;2066-01-16;2066-01-12;2067-01-16;2067-01-12;2068-01-16;2068-01-23;2069-01-27;2069-01-12;2070-01-16;2070-01-12;2071-01-16
