OBJECTID;NOM;Exutoire_1;assec2010;assec2011;assec2012;assec2013;assec2014;assec2015;assec2016;assec2017;assec2018;assec2019;assec2020;assec2021;assec2022;assec2023;assec2024;assec2025
580;LES RAGES;CARRONNIER;Evolage;Evolage;Evolage;Assec;Assec;Evolage;Evolage;Evolage;Assec;Assec;Assec;Evolage;Evolage;Evolage;Evolage;Evolage
582;QUEUE1;FOUR;;;;;;;;;;;;;;;;
581;QUEUE2;FOUR;;;;;;;;;;;;;;;;
583;FRENE;PETIT ETANG LA ROUE;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec
695;GRAND RONZUEL;FRENE;Evolage;Evolage;Evolage;Assec;Assec;Evolage;Evolage;Evolage;Assec;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
699;PLAT;POLLET;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage
589;LECHERE DU FRAYET;CORVEYZIEUX;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Evolage;Assec;Assec;Evolage
610;GRAND ETANG LA ROUE;CORVEYZIEUX;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Assec;Evolage;Evolage
611;REMONDET NORD;REMONDET SUD;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage
619;LIGNIERE;REMONDET SUD;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage
620;CORVEYZIEUX;LIGNIERE;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage
641;PETIT ETANG LA ROUE;CORVEYZIEUX;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage
