NOM;jour de vidange ;Exutoire_1
LEYE;3;VAREPPE
ORCET;22;RIVIERE
LONGE ETANG;7;PETITES VERNAYS
GRAND PRA;6;ORCET
GRAND VERNAYES;34;OSIERS
OSIERS;16;LECHERE DE LA MONTAGNE SAINTE
GOUILLES;8;GRAND VERNAYES
PLAT;8;GRAND PRA
VAREPPE;12;LECHERE DE LA MONTAGNE SAINTE
BOTTE;8;FENIERES
PETITES VERNAYS;3;GRAND VERNAYES
FENIERES;7;VERNOZAN
LECHERE DE LA MONTAGNE SAINTE;9;PETIT FEINIERE
PETIT FEINIERE;8;FENIERES
VERNOZAN;26;RIVIERE
