OBJECTID,NOM,Exutoire_1,Vidange2010,peche2010,Vidange2011,peche2011,Vidange2012,peche2012,Vidange2013,peche2013,Vidange2014,peche2014,Vidange2015,peche2015,Vidange2016,peche2016,Vidange2017,peche2017,Vidange2018,peche2018,Vidange2019,peche2019,Vidange2020,peche2020,Vidange2021,peche2021,Vidange2022,peche2022,Vidange2023,peche2023,Vidange2024,peche2024,Vidange2025,peche2025
619,LIGNIERE,REMONDET SUD,2010-10-10,2010-10-20,2011-10-10,2011-10-20,2012-10-10,2012-10-20,2013-10-10,2013-10-20,2014-10-10,2014-10-20,2015-10-10,2015-10-20,2016-10-10,2016-10-20,2017-10-10,2017-10-20,2018-10-10,2018-10-20,2019-10-10,2019-10-20,2020-10-10,2020-10-20,2021-10-10,2021-10-20,2022-10-10,2022-10-20,2023-10-17,2023-10-27,2024-10-10,2024-10-20,2025-10-10,2025-10-20
853,LONGEVAVRE,ONDONNIERE,2010-12-08,2010-12-15,2011-12-08,2011-12-15,2012-12-08,2012-12-15,2013-12-08,2013-12-15,2014-12-08,2014-12-15,2015-12-08,2015-12-15,2016-12-08,2016-12-15,2017-12-08,2017-12-15,2018-12-08,2018-12-15,2019-12-08,2019-12-15,2020-12-08,2020-12-15,2021-12-08,2021-12-15,2022-12-08,2022-12-15,2023-12-08,2023-12-15,2024-12-08,2024-12-15,2025-12-08,2025-12-15
757,NEUF DE BURLAT,VIEUX BURLAT,2010-12-28,2010-12-31,2011-12-28,2011-12-31,2012-12-28,2012-12-31,2013-12-28,2013-12-31,2014-12-28,2014-12-31,2015-12-28,2015-12-31,2016-12-28,2016-12-31,2017-12-28,2017-12-31,2018-12-28,2018-12-31,2019-12-28,2019-12-31,2020-12-28,2020-12-31,2021-12-28,2021-12-31,2022-12-28,2022-12-31,2023-12-28,2023-12-31,2024-12-28,2024-12-31,2025-12-28,2025-12-31
844,ONDONNIERE,TRIPOUX,2010-09-23,2010-10-03,2011-09-23,2011-10-03,2012-09-23,2012-10-03,2013-09-23,2013-10-03,2014-09-23,2014-10-03,2015-09-23,2015-10-03,2016-09-23,2016-10-03,2017-09-23,2017-10-03,2018-09-23,2018-10-03,2019-09-23,2019-10-03,2020-09-23,2020-10-03,2021-09-23,2021-10-03,2022-09-23,2022-10-03,2023-09-23,2023-10-03,2024-09-23,2024-10-03,2025-09-23,2025-10-03
728,PARADIS,SALE,2010-12-20,2010-12-30,2011-12-20,2011-12-30,2012-12-20,2012-12-30,2013-12-20,2013-12-30,2014-12-20,2014-12-30,2015-12-20,2015-12-30,2016-12-20,2016-12-30,2017-12-20,2017-12-30,2018-12-20,2018-12-30,2019-12-20,2019-12-30,2020-12-20,2020-12-30,2021-12-20,2021-12-30,2022-12-20,2022-12-30,2023-12-20,2023-12-30,2024-12-20,2024-12-30,2025-12-20,2025-12-30
641,PETIT ETANG LA ROUE,CORVEYZIEUX,2010-11-18,2010-11-22,2011-11-18,2011-11-22,2012-11-18,2012-11-22,2013-11-18,2013-11-22,2014-11-18,2014-11-22,2015-11-18,2015-11-22,2016-11-18,2016-11-22,2017-11-18,2017-11-22,2018-11-18,2018-11-22,2019-11-18,2019-11-22,2020-11-18,2020-11-22,2021-11-18,2021-11-22,2022-11-18,2022-11-22,2023-11-18,2023-11-22,2024-11-18,2024-11-22,2025-11-18,2025-11-22
716,PETIT RONZUEL,GRAND RONZUEL,2010-11-15,2010-11-25,2011-11-15,2011-11-25,2012-11-15,2012-11-25,2013-11-15,2013-11-25,2014-11-15,2014-11-25,2015-11-15,2015-11-25,2016-11-15,2016-11-25,2017-11-15,2017-11-25,2018-11-15,2018-11-25,2019-11-15,2019-11-25,2020-11-15,2020-11-25,2021-11-15,2021-11-25,2022-11-15,2022-11-25,2023-11-15,2023-11-25,2024-11-15,2024-11-25,2025-11-15,2025-11-25
699,PLAT,POLLET,2010-10-31,2010-11-10,2011-10-31,2011-11-10,2012-10-31,2012-11-10,2013-10-31,2013-11-10,2014-10-31,2014-11-10,2015-10-31,2015-11-10,2016-10-31,2016-11-10,2017-10-31,2017-11-10,2018-10-31,2018-11-10,2019-10-31,2019-11-10,2020-10-31,2020-11-10,2021-10-31,2021-11-10,2022-10-31,2022-11-10,2023-10-27,2023-11-06,2024-10-31,2024-11-10,2025-10-16,2025-10-26
678,POLLET,VIEUX,2010-10-10,2010-10-20,2011-10-10,2011-10-20,2012-10-10,2012-10-20,2013-10-10,2013-10-20,2014-10-10,2014-10-20,2015-10-10,2015-10-20,2016-10-10,2016-10-20,2017-10-10,2017-10-20,2018-10-10,2018-10-20,2019-10-10,2019-10-20,2020-10-10,2020-10-20,2021-10-10,2021-10-20,2022-12-24,2023-01-03,2023-10-10,2023-10-20,2024-10-10,2024-10-20,2025-09-18,2025-09-28
582,QUEUE1,FOUR,2010-12-28,2010-12-30,2011-12-28,2011-12-30,2012-12-28,2012-12-30,2013-12-28,2013-12-30,2014-12-28,2014-12-30,2015-12-28,2015-12-30,2016-12-28,2016-12-30,2017-12-28,2017-12-30,2018-12-28,2018-12-30,2019-12-28,2019-12-30,2020-12-28,2020-12-30,2021-12-28,2021-12-30,2022-12-28,2022-12-30,2023-12-28,2023-12-30,2024-12-28,2024-12-30,2025-12-28,2025-12-30
581,QUEUE2,FOUR,2010-12-28,2010-12-30,2011-12-28,2011-12-30,2012-12-28,2012-12-30,2013-12-28,2013-12-30,2014-12-28,2014-12-30,2015-12-28,2015-12-30,2016-12-28,2016-12-30,2017-12-28,2017-12-30,2018-12-28,2018-12-30,2019-12-28,2019-12-30,2020-12-28,2020-12-30,2021-12-28,2021-12-30,2022-12-28,2022-12-30,2023-12-28,2023-12-30,2024-12-28,2024-12-30,2025-12-28,2025-12-30
611,REMONDET NORD,REMONDET SUD,2010-10-05,2010-10-15,2011-10-05,2011-10-15,2012-10-05,2012-10-15,2013-10-05,2013-10-15,2014-10-05,2014-10-15,2015-10-05,2015-10-15,2016-10-05,2016-10-15,2017-10-05,2017-10-15,2018-10-05,2018-10-15,2019-10-05,2019-10-15,2020-10-05,2020-10-15,2021-10-05,2021-10-15,2022-11-14,2022-11-24,2023-10-05,2023-10-15,2099-12-31,2099-12-31,2025-10-05,2025-10-15
672,REMONDET SUD,PARADIS,2010-11-08,2010-11-18,2011-11-08,2011-11-18,2012-11-08,2012-11-18,2013-11-08,2013-11-18,2014-11-08,2014-11-18,2015-11-08,2015-11-18,2016-11-08,2016-11-18,2017-11-08,2017-11-18,2018-11-08,2018-11-18,2019-11-08,2019-11-18,2020-11-08,2020-11-18,2021-11-08,2021-11-18,2022-11-08,2022-11-18,2023-11-08,2023-11-18,2024-11-08,2024-11-18,2025-11-08,2025-11-18
775,RIOUX,TRIPOUX,2010-12-07,2010-12-14,2011-12-07,2011-12-14,2012-12-07,2012-12-14,2013-12-07,2013-12-14,2014-12-07,2014-12-14,2015-12-07,2015-12-14,2016-12-07,2016-12-14,2017-12-07,2017-12-14,2018-12-07,2018-12-14,2019-12-07,2019-12-14,2020-12-07,2020-12-14,2021-12-07,2021-12-14,2022-12-07,2022-12-14,2023-12-07,2023-12-14,2024-12-07,2024-12-14,2025-12-07,2025-12-14
1279,ROUE RONZUEL,PETIT ETANG LA ROUE,2010-11-16,2010-11-24,2011-11-16,2011-11-24,2012-11-16,2012-11-24,2013-11-16,2013-11-24,2014-11-16,2014-11-24,2015-11-16,2015-11-24,2016-11-16,2016-11-24,2017-11-16,2017-11-24,2018-11-16,2018-11-24,2019-11-16,2019-11-24,2020-11-16,2020-11-24,2021-11-16,2021-11-24,2022-11-16,2022-11-24,2023-11-16,2023-11-24,2024-11-16,2024-11-24,2025-11-16,2025-11-24
768,SALE,OUTPUT,2010-01-05,2010-01-15,2011-01-05,2011-01-15,2012-01-05,2012-01-15,2013-01-05,2013-01-15,2014-01-05,2014-01-15,2015-01-05,2015-01-15,2016-01-05,2016-01-15,2017-01-05,2017-01-15,2018-01-05,2018-01-15,2019-01-05,2019-01-15,2020-01-05,2020-01-15,2021-01-05,2021-01-15,2022-01-05,2022-01-15,2023-01-05,2023-01-15,2024-01-05,2024-01-15,2025-01-05,2025-01-15
798,TRIPOUX,SALE,2010-05-02,2010-05-10,2011-05-02,2011-05-10,2012-05-02,2012-05-10,2013-05-02,2013-05-10,2014-05-02,2014-05-10,2015-05-02,2015-05-10,2016-05-02,2016-05-10,2017-05-02,2017-05-10,2018-05-02,2018-05-10,2019-05-02,2019-05-10,2020-05-02,2020-05-10,2021-05-02,2021-05-10,2022-05-02,2022-05-10,2023-05-02,2023-05-10,2024-05-02,2024-05-10,2025-05-02,2025-05-10
743,VIEUX,PARADIS,2010-10-26,2010-11-01,2011-10-26,2011-11-01,2012-10-26,2012-11-01,2013-10-26,2013-11-01,2014-10-26,2014-11-01,2015-10-26,2015-11-01,2016-10-26,2016-11-01,2017-10-26,2017-11-01,2018-10-26,2018-11-01,2019-10-26,2019-11-01,2020-10-26,2020-11-01,2021-10-26,2021-11-01,2022-10-26,2022-11-01,2023-10-26,2023-11-01,2024-10-26,2024-11-01,2025-10-26,2025-11-01
732,VIEUX BURLAT,GRAND RONZUEL,2010-11-27,2010-11-30,2011-11-27,2011-11-30,2012-11-27,2012-11-30,2013-11-27,2013-11-30,2014-11-27,2014-11-30,2015-11-27,2015-11-30,2016-11-27,2016-11-30,2017-11-27,2017-11-30,2018-11-27,2018-11-30,2019-11-27,2019-11-30,2020-11-27,2020-11-30,2021-11-27,2021-11-30,2022-11-27,2022-11-30,2023-11-27,2023-11-30,2024-11-27,2024-11-30,2025-11-27,2025-11-30
